sinco11,descripcion_sinco,ciuo08,descripcion_ciuo
2625,Dibujantes técnicos,3118,Delineantes y dibujantes técnicos
2625,Dibujantes técnicos,7316,"Redactores de carteles, pintores decorativos y grabadores"
263,"Mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración",,
2630,"Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos  de motor, instrumentos industriales y equipo de refrigeración",3115,Técnicos en ingeniería mecánica
2631,Técnicos en mantenimiento y reparación de vehículos de motor,7231,Mecánicos y reparadores de vehículos de motor
2632,Mecánicos en mantenimiento y reparación de vehículos de motor,7232,Mecánicos y reparadores de motores de avión
2633,Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales,3115,Técnicos en ingeniería mecánica
2634,Mecánicos en mantenimiento y reparación de maquinaria e instrumentos industriales,7233,Mecánicos y reparadores de máquinas agrícolas e industriales
2634,Mecánicos en mantenimiento y reparación de maquinaria e instrumentos industriales,7234,Reparadores de bicicletas y afines
2635,Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales,7311,Mecánicos y reparadores de instrumentos de precisión
2636,Mecánicos en mantenimiento y reparación de instrumentos de precisión y musicales,7312,Fabricantes y afinadores de instrumentos musicales
2636,Mecánicos en mantenimiento y reparación de instrumentos de precisión y musicales,7222,Herramentistas y afines
2637,"Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado",7127,Mecánicos-montadores de instalaciones de refrigeración y climatización
2638,"Mecánicos en  instalación, mantenimiento y reparación de equipos de refrigeración, climas y aire acondicionado.",7127,Mecánicos-montadores de instalaciones de refrigeración y climatización
2639,"Otras ocupaciones de mecánicos y técnicos en el mantenimiento y reparación de equipos mecánicos, vehículos de motor e instrumentos industriales, no clasificados anteriormente",NA,No tiene correspondencia
264,"Técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos",,
2640,"Supervisores de técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos",NA,No tiene correspondencia
2641,Técnicos eléctricos,3113,Electrotécnicos
2641,Técnicos eléctricos,3114,Técnicos en electrónica
2642,Electricistas y linieros,7411,Electricistas de obras y afines
2642,Electricistas y linieros,7413,Instaladores y reparadores de líneas eléctricas 
2642,Electricistas y linieros,7421,Mecánicos y reparadores en electrónica
2643,"Técnicos en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)",7421,Mecánicos y reparadores en electrónica
2644,"Trabajadores en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)",7421,Mecánicos y reparadores en electrónica
2645,Técnicos en reparación de equipos electromecánicos,7412,Mecánicos y ajustadores electricistas
2645,Técnicos en reparación de equipos electromecánicos,7421,Mecánicos y reparadores en electrónica
2646,Trabajadores en reparación de equipos electromecánicos,7412,Mecánicos y ajustadores electricistas
2646,Trabajadores en reparación de equipos electromecánicos,7421,Mecánicos y reparadores en electrónica
2649,"Otros técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos, no clasificados anteriormente",NA,No tiene correspondencia
265,Auxiliares y técnicos en informática y en equipos de comunicaciones y grabación,,
2651,"Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales",3511,Técnicos en operaciones de tecnología de la información y las comunicaciones
2651,"Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales",3512,Técnicos en asistencia al usuario de tecnología de la información y las comunicaciones
2651,"Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales",3513,Técnicos en redes y sistemas de computadores
2651,"Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales",3514,Técnicos de la Web
2652,Técnicos en operaciones de equipos de radio,3521,Técnicos de radiodifusión y grabación audio visual
2652,Técnicos en operaciones de equipos de radio,3522,Técnicos de ingeniería de las telecomunicaciones
2653,Auxiliares y técnicos de equipos de grabación y reproducción de video,3521,Técnicos de radiodifusión y grabación audio visual
2654,"Auxiliares y técnicos de ingeniería de audio, sonido e iluminación",3521,Técnicos de radiodifusión y grabación audio visual
2655,Fotógrafos,3431,Fotógrafos
266,Controladores de tráfico aéreo y de otros transporte,,
2661,Controladores de tráfico aéreo,3154,Controladores de tráfico aéreo
2662,"Controladores de tráfico de otros transportes (terrestre, ferroviario y marítimo)",8312,"Guardafrenos, guardagujas y agentes de maniobras"
27,"Auxiliares y técnicos en educación, instructores y capacitadores",,
271,"Auxiliares y técnicos en educación, instructores y capacitadores",,
2711,Auxiliares y técnicos en pedagogía y en educación,NA,No tiene correspondencia
2712,Instructores en estudios y capacitación artística,2354,Otros profesores de música
2712,Instructores en estudios y capacitación artística,2355,Otros profesores de artes
2713,Instructores en estudios y capacitación comercial y administrativa,2359,Profesionales de la enseñanza no clasificados bajo otros epígrafes
2713,Instructores en estudios y capacitación comercial y administrativa,2356,Instructores en tecnología de la información
2714,Instructores en idiomas extranjeros,2353,Otros profesores de idiomas
2715,Instructores y capacitadores en oficios y para el trabajo,2359,Profesionales de la enseñanza no clasificados bajo otros epígrafes
2715,Instructores y capacitadores en oficios y para el trabajo,5165,Instructores de autoescuela
2716,Profesores en educación física y deporte,3423,Instructores de educación física y actividades recreativas
28,"Enfermeras, técnicos en medicina y trabajadores de apoyo en salud",,
